titre,lien,date_pub,place,prix_partir,prix_m,standing,description
Rio Beach Appartements,https://www.mubawab.ma/fr/p/2095/rio-beach-appartements,Publié il y a 5 mois,Sidi Rahal,À partir de 850 000 DH,Not found!,"['Haut standing', 'Finalisé']","Rio Beach est une destination orientée bien-être et loisirs.

Ancré sur un front de mer dégagé, propice aux promenades et à la détente. RIO Beach est une résidence fermée et sécurisée conçue pour vous faire profiter de tous les plaisir d’une habitation front Mer.

RIO Beach comprend des espaces verts paysagers qui invitent à la détente dans un cadre à l’architecture raffinée, mariant modernité et tradition.

Le site se trouve à seulement à 25 KM de Casablanca, dispose d'un accès direct à la plage et comprend des villas ainsi que des appartements composé comme suit: 2 ou 3 chambres selon la superficie, Salon, cuisine, buanderie, salle de bain, WC, balcons

De multiples équipements sont également disponible: Piscines, Spa, Restaurant, Centre Commerciale..

RIO Beach offre tous les privilèges d’un lieu de vie et de détente convivial, chaleureux et au charme hors du commun.

Venez vite découvrir nos appartements aux finitions Hautes Gammes, et profitez d'une remise exceptionnelle de 100 000 dhs."
"Stade Center, facilitez la vie à vos collaborateurs en ayant des bureaux au centre de Casa !",https://www.mubawab.ma/fr/p/2832/stade-center-facilitez-la-vie-%C3%A0-vos-collaborateurs-en-ayant-des-bureaux-au-centre-de-casa-,Publié il y a 5 mois,Maârif Extension à Casablanca,À partir de 1 350 000 DH,Not found!,"['Haut standing', 'En cours de construction']","Que vous soyez un professionnel qui exerce en libéral, un investisseur, un commerçant ou encore une start-up, Stade Center est le meilleur tremplin pour votre entreprise et son rayonnement économique.
Stade Center vous propose 24 bureaux d’une superficie allant de 50 à 90 m². Vous bénéficierez d’un immeuble imposant de cinq étages en double façade, orienté Sud-Est pour un maximum d'ensoleillement et de luminosité. De même, sont à votre disposition des locaux commerciaux d’une surface comprise entre 35 et 134 m².

Stade Center bénéficie d’un design épuré et moderne, qui crée une rupture avec l’architecture de la zone, dotant votre entreprise ou votre enseigne d’une visibilité pertinente auprès d’une affluence de valeur. Vos bureaux haut standing se trouveront entre Boulevard Bir Anzarane, Socrate, Ghandi, ainsi que le boulevard Abdelkrim Al Khattabi, à 5 minutes du Twin Center, à 10 min de Marina et de Casa Finance City.

Des bureaux dotés d’équipements et de finitions raffinés

En choisissant Stade Center, vous bénéficierez des équipements ci-après :
- Deux sous-sols de parkings avec places d’environ 12m² assignées à chaque bureau
- Monte-charge pour voiture
- Ascenseur de la marque SCHINDLER
- Caméras de vidéo-surveillance à l’entrée de l’immeuble et au parking
- Alimentation électrique : tableaux disjoncteurs installés d’une capacité de 380 V
- Installation de la fibre optique
- Faux plafond en plâtre Armstrong
- Revêtement des sols en carrelage d’importation CERAME
- Double vitrage et volets roulants électriques avec motorisation et commande centralisée
- Climatisation réversible et individuelle de la marque Carrier

Stade Center, pour bénéficier de commodités de renom

Stade Center, avec son emplacement qui surplombe le terrain Mohammed V de Casablanca, vous positionnera en plein centre de la capitale économique. Ainsi, cela représente pour vous un précieux avantage de proximité pour régler vos démarches administratives et accéder facilement aux commodités avoisinantes :
- Centres d’affaires
- Casablanca Finance City
- Banques
- Partenaires commerciaux
- Cliniques
- Ecoles
- Cafés, restaurants

Parce que Stade Center a été conçu dans les détails pour formuler une offre pertinente aux entreprises, nous avons pensé aussi bien à vous qu’à vos collaborateurs. En effet, ces derniers travailleront dorénavant dans une zone très connectée, particulièrement bien desservie et pleine de vie. Ainsi, vous aurez le loisir de vous déplacer à pied, en voiture, en bus ou en taxi, plus d’excuses pour être en retard !

Vous voulez travailler en plein centre de Casablanca dans des bureaux professionnels haut standing ?
Vous avez frappé à la bonne porte. N’attendez plus, et prenez contact avec notre équipe."
Califonia Homes,https://www.mubawab.ma/fr/p/3345/califonia-homes,Publié il y a 5 mois,Californie à Casablanca,À partir de 1 200 000 DH,14 500DH / m²,"['Haut standing', 'Finalisé']","Un épanouissement au quotidien, des moments inoubliables en famille, un calme inouï et un confort sans pareil dans un cadre de vie unique créé exclusivement pour vous, ce sont les promesses que vous fait California Homes, la nouvelle adresse du luxe au cœur du quartier Californie !

Stratégiquement située dans l’un des quartiers les plus prisés de Casablanca, California Homes est une résidence fermée et sécurisée qui met à votre disposition des appartements haut standing d’une superficie qui varie entre 70 et 117 m².

Pensée en mettant le point sur vos moindres besoins et désirs, la résidence érigée en R+3 a été dotée de tous les équipements nécessaires à votre bien-être dont vous trouverez des espaces verts, des ascenseurs et même des places de parking au sous-sol.

Les appartements quant à eux sont parfaitement orientés pour une lumière naturelle à longueur de journée, et idéalement aménagés de sorte à vous permettre un espace de vie spacieux et optimisé.

De par son emplacement stratégique, California Homes se trouve au centre de toutes les commodités dont vous pourrez avoir besoin :

- Écoles
- Mosquées
- Cliniques et hôpitaux
- Commerces de proximité
- Supermarchés et hypermarchés
- Cafés et restaurants

Faites le choix d’une vie meilleure ! Optez pour California Homes !"
Résidences Al Hamd 2,https://www.mubawab.ma/fr/p/3477/r%C3%A9sidences-al-hamd-2,Publié il y a 5 mois,City Dar Es Salaam à Casablanca,À partir de 690 000 DH,Not found!,"['Moyen standing', 'Finalisé']","La résidence Al Hamd 2 : propose sa 2ème tranche en résidence fermée et sécurisée

La résidence Al Hamd 2, au quartier Al Oulfa, vous propose des appartements de standing bien agencés d’une superficie allant de 73 à 105 m², et ce, à un prix incontournable à partir de 690 000 DH et 100% déclaré.
- Appartements de 2 à 3 chambres
- Place de parking titrée en deux sous-sols et box titré
- Espaces verts
- Résidence fermée et sécurisée 7J/7 et 24h/24,

À la résidence Al Hamd 2, votre confort prime. C’est pour cette raison, que les appartements de standing disposent de finitions et de matériaux de qualité :
- Cuisine équipée d’un trio (plaque,four,hotte) de la marque Silverline
- Carrelage type compacto dans toutes les pièces
- Placards dans toutes les chambres
- Peinture type Stucco au salon et hall d’entrée
- Porte en bois de chêne
- Parabole collective

La résidence fermée et sécurisée Al Hamd 2 est située au rond-point Essalam au quartier El Oulfa. Sa situation au centre du quartier Oulfa, vous garantie une proximité immédiate avec les principales artères de la capitale économique, ainsi qu’avec toutes les commodités nécessaires :
- École et Mosquée au sein de la résidence
- Transports en commun : bus, taxis…
- Pharmacies et commerces
- Cliniques et hôpitaux
- Cafés et restaurants
- Salles de sports et hammam

La résidence Al Hamd 2: Apportez du confort à votre foyer !"
Paradise Beach,https://www.mubawab.ma/fr/p/2755/paradise-beach,Publié il y a 5 mois,El Mansouria,À partir de 960 000 DH,12 000DH / m²,"['Haut standing', 'Finalisé', 'Livraison février 2021']","Idéalement situé sur El Mansouria, le projet « Paradise Beach » s’affiche comme l’un des projets les plus aboutis de la région, avec une architecture novatrice et contemporaine.

Signature du groupe Oubaha Immobilier, « Paradise Beach » vous propose des appartements haut standing dotés de finitions exceptionnelles pour des acquisitions principales ou secondaires.
Finitions proposées :

• Cuisines équipées du trio : four, plaque de cuisson à gaz, hotte aspirante.
• Revêtement de sol en marbre et parquet dans les chambres.
• Menuiserie bois en chêne et placards aménagés intégrés dans toutes les chambres.
• Peinture décorative salon et couloirs KHAYAL
• Sanitaires suspendus créa-vit et douches italiennes extracteur d’aire gainable robinetteries GROHE.
• Pré-installation de la climatisation dans les salons et les chambres.
• Volets électriques et menuiserie aluminium SUPALUMIC.
• Faux plafond et spots en LED intégrés.
• Equipements électriques ALYANS.
• Ascenseurs SHINDLER.
• Antennes paraboliques collectives.
Résidence équipée de : (Ascenseurs, Espaces verts, Parking au sous-sol, vidéo surveillance, deux piscines, terrain omnisports, une salle de Fitness, un café terrasse, un restaurant, un bowling)

La résidence Paradise Beach respire le luxe et raffinement et vous offre l'équilibre parfait entre calme, savoir vivre et harmonie, tout cela en front de mer et en respectant la proximité de toutes commodités : hypermarché, mosquée, écoles, boulangerie, pâtisserie, station-service, plage des sablettes ."
Casabay Sidi Rahal,https://www.mubawab.ma/fr/p/863/casabay-sidi-rahal,Publié il y a plus de 6 mois,Sidi Rahal,À partir de 890 000 DH,Not found!,"['Haut standing', 'Finalisé']","Situé à 25 minutes de Casablanca, Casabay est un complexe résidentiel fermé vous permettant de vous échapper de la métropole et d’apprécier des moments de calme et de confort.

Casabay répond aux normes architecturales les plus exigeantes et allie modernité et finition élégante pour offrir le cadre idéal d’une résidence principale ou secondaire.

CARACTÉRISTIQUES DU PROJET :

Nature du complexe : Résidence fermée sécurisée avec piscines et jardins privatifs
Finition : Carreaux de céramique, cuisine équipée, faux plafonds, pré installation de climatisation, etc… tous les matériaux proposés par le groupe KETTANI Immobilier sont un gage qualité et de sécurité.
Niveau : R+ 2

ÉQUIPEMENTS DU PROJET :
- Espaces verts privés et aménagés
- Piscines privées réservées aux résidents
- Aire de jeux pour enfants
- Résidence fermée et sécurisée
- Caméras de surveillance 24h/24
- Terrains de sport
- Parking


RENSEIGNEMENTS ET CONTACT :
- Découvrez Casabay - Sidi Rahal : https://www.kettani-immobilier.com/casabay
- Découvrez nos projets : http://kettani-immobilier.com
- Notre contrat de confiance : http://kettani-immobilier.com/contrat-de-confiance"
Appartements moyen standing Semi-finis,https://www.mubawab.ma/fr/p/1727/appartements-moyen-standing-semi-finis,Publié il y a plus de 6 mois,Golf de Benslimane à Benslimane,À partir de 220 000 DH,Not found!,"['Moyen standing', 'En cours de construction']","Shems Almadina Benslimane présente à tout ceux et celles qui souhaitent finir son à leur goût, Des appartements semi-finis à saisir Entre 89 et 94 m².
Plusieurs plans vous sont offerts : 2 chambres à 3 chambre , salon et Duplex.
Une opportunité à ne pas rater!
Le projet bénéficie d' un cadre de vie époustouflant entouré d’espaces de vie et de nombreux équipements facilitant le quotidien des personnes qui rêvent de se procurer un appartement moyen-standing: - Espaces verts - Ecoles, collège, - Mosquée, Hammam - clinique et théâtre ."
Studio 31 : studios haut standing,https://www.mubawab.ma/fr/p/3168/studio-31-studios-haut-standing,Publié il y a plus de 6 mois,Les Hôpitaux à Casablanca,À partir de 950 000 DH,Not found!,"['Haut standing', 'En cours de construction']","Studio 31 : les nouveaux studios où il faut investir à Casablanca !

Que vous soyez jeune actif, investisseur ou simplement à la recherche de votre futur logement à Casablanca, le projet Studio 31 vous propose des biens qui correspondent en tous points à vos attentes.

Ce projet idéalement situé au quartier les hôpitaux extension, met à votre disposition 31 studios haut standing d’une superficie allant de 46 à 83 m², et ce, à un prix 100% déclaré débutant à 950.000 DH.

Grâce à sa double façade, ce projet offre à ses habitants de la lumière naturelle durant toute la journée. Studio 31 met également à disposition de ses futurs acquéreurs un parking en deux sous-sols.

Pensés pour répondre à toutes les attentes et tous les styles de vie, les studios haut standing de ce projet charment par leur design moderne et raffiné. Ils offrent un cadre de vie agréable et fonctionnel des plus enchanteurs. Également, les finitions et les équipements de ces derniers, répondent en tous points à vos attentes :
- Peinture mate blanche dans la chambre et la cuisine
- Peinture décorative dans le salon
- Carrelage type CAMPACTO dans tout l’appartement
- Parquet dans les chambres
- Cuisine équipée d’un trio de la marque ZANUSSI
- Climatisation gainable et réversible dans le salon et les chambres
- Place de parking et box titrés

En optant pour le projet STUDIO 31, vous pouvez être certain que votre investissement sera rentable très rapidement. La demande de location dans le quartier ne cesse d’augmenter et l’emplacement du projet séduira ses futurs habitants.

En effet, le projet STUDIO 31 permettra à ses habitants de bénéficier d’une proximité immédiate avec toutes les commodités nécessaires à leur quotidien :
- Faculté de médecine
- Cliniques
- Écoles
- Transports en commun : bus et taxis
- A 2 min de plusieurs stations de tramway
- Supermarchés et hypermarchés
- Salle de sport
- Restaurants et cafés

Investir ou habiter dans le projet STUDIO 31, c’est faire un choix gagnant à tous les coups ! Votre studio haut standing n’attend plus que vous ! Pour plus d’informations, n’hésitez pas à nous contacter."
Villas des Prés,https://www.mubawab.ma/fr/p/2254/villas-des-pr%C3%A9s,Publié il y a plus de 6 mois,Dar Bouazza,À partir de 3 500 000 DH,Not found!,"['Haut standing', 'Finalisé']","Regroupant un ensemble de villas haut standing, ce complexe de villas se caractérise par sa vue imprenable sur l’océan et son cadre verdoyant.

Dans un environnement exceptionnel, c’est le projet où il fait bon vivre à Casablanca. Les Villas des Prés vous propose des villas conçues en bande ou jumelées d’une surface habitable allant de 300 à 400 m² et ce, pour un prix débutant à 3,5 Mdh.

Si vous êtes à la recherche d’une meilleure qualité de vie, Les Villas des Prés est donc fait pour vous ! En effet, ce projet, en plus de vous offrir des biens de qualité, met à votre disposition des équipements qui vont vous réjouir, ainsi que votre famille :

- Projet sécurisé et fermé
- Aires de jeux pour enfants
- Jardins et espaces verts

Les villas de ce projet ont été construites avec des matériaux nobles, triés sur le volet et modernes, qui en somme sont à la hauteur de vos attentes. En optant pour Les Villas des Prés, vous allez bénéficier de :

- Villas sur 3 niveaux : Sous-sol, Rez de chaussée, 1 er étage et terrasse accessible
- Jardin privatif
- Finitions premium
- 4 chambres à l’étage
- Solarium
- Cheminée
- Parquet dans les chambres

De plus, grâce à son emplacement privilégié, le projet Les Villas des Prés vous permettra de vivre dans un cadre reposant tout en restant proches de toutes les commodités nécessaires à votre quotidien :

- A 7 min du Morocco Mall
- Ecoles privées
- Pharmacies
- Cafés et restaurants
- Supermarchés et hypermarchés

Prenez rapidement contact avec notre équipe ! La livraison des villas est immédiate !"
Résidence Al Kawtar,https://www.mubawab.ma/fr/p/3349/r%C3%A9sidence-al-kawtar,Publié il y a plus de 6 mois,El Mansouria,À partir de 750 000 DH,Not found!,"['Haut standing', 'Finalisé']","En bordure d'océan sur la route côtière Mohammedia-Bouznika, le village balnéaire AL KAWTAR offre sur plus de 10 hectares, un cadre pittoresque à de magnifiques villas et appartements. Bâti dans le plus grand respect de l’art et des traditions arabo-andalouses où le savoir-faire s’associe à merveille au confort moderne et au raffinement de l’artisanat traditionnel marocain.

LES PRESTATIONS DU VILLAGE BALNÉAIRE AL KAWTAR

Dans la résidence, fermée et gardiennée, vous trouverez un centre commercial, un aquapark, de nombreuses piscines dont une couverte pour les femmes, des aires de jeux pour vos enfants ainsi que des courts de tennis et terrains de foot et basket, une salle de fitness, une garderie, un espace restauration et des zones de footing et randonnée. Pour vous garer, pas de soucis : un parking devant votre logement, des parkings en sous-sol numérotés et un grand parking devant la résidence, gardé permettra à vos convives de profiter en toute quiétude de ce lieu unique et majestueux."
Résidences Al Hamd 2,https://www.mubawab.ma/fr/p/3477/r%C3%A9sidences-al-hamd-2,Publié il y a plus de 6 mois,City Dar Es Salaam à Casablanca,À partir de 690 000 DH,Not found!,"['Moyen standing', 'Finalisé']","La résidence Al Hamd 2 : propose sa 2ème tranche en résidence fermée et sécurisée

La résidence Al Hamd 2, au quartier Al Oulfa, vous propose des appartements de standing bien agencés d’une superficie allant de 73 à 105 m², et ce, à un prix incontournable à partir de 690 000 DH et 100% déclaré.
- Appartements de 2 à 3 chambres
- Place de parking titrée en deux sous-sols et box titré
- Espaces verts
- Résidence fermée et sécurisée 7J/7 et 24h/24,

À la résidence Al Hamd 2, votre confort prime. C’est pour cette raison, que les appartements de standing disposent de finitions et de matériaux de qualité :
- Cuisine équipée d’un trio (plaque,four,hotte) de la marque Silverline
- Carrelage type compacto dans toutes les pièces
- Placards dans toutes les chambres
- Peinture type Stucco au salon et hall d’entrée
- Porte en bois de chêne
- Parabole collective

La résidence fermée et sécurisée Al Hamd 2 est située au rond-point Essalam au quartier El Oulfa. Sa situation au centre du quartier Oulfa, vous garantie une proximité immédiate avec les principales artères de la capitale économique, ainsi qu’avec toutes les commodités nécessaires :
- École et Mosquée au sein de la résidence
- Transports en commun : bus, taxis…
- Pharmacies et commerces
- Cliniques et hôpitaux
- Cafés et restaurants
- Salles de sports et hammam

La résidence Al Hamd 2: Apportez du confort à votre foyer !"
Famille D'amour,https://www.mubawab.ma/fr/p/3479/famille-d-amour,Publié il y a plus de 6 mois,Bourgogne Ouest à Casablanca,Prix à consulter,17 500DH / m²,"['Haut standing', 'Finalisé']","Votre nid familial en plein centre de Casablanca est là: la résidence haut standing Famille d’Amour a pour objectif d’offrir le confort et la proximité idéaux qui accompagneront votre vie de famille active au quotidien.

Les spacieux appartements de deux à trois chambres ont été aménagés et agencés afin de vous plonger dans une lumière naturelle sereine à travers les balcons et les terrasses. Les superficies varient de 75m² à 116 m², pour un prix à partir de 17 500DH/m², avec des finitions et des équipements de haute qualité:
- Sol en marbre
- Parquet dans les chambres
- Cuisine équipée d’un trio (four, hotte, plaque de cuisson)
- Volets électriques
- Parking au sous sol

L’emplacement de la résidence a été minutieusement choisi pour vous faire profiter d’un quotidien dynamique, où vous ne manquerez de rien:
- Supermarché, commerces et banques
- Pharmacies et cliniques
- Cafés, restaurants et fast food
- Salons de coiffure, SPA et hammam
- Écoles et lieux de travail
- À deux pas du boulevard Zerktouni

Offrez à votre famille un foyer plein d’amour et remplissez le formulaire !"
"Résidence Les Palmiers, vos studios et appartements entre calme et proximité au quartier l'Oasis",https://www.mubawab.ma/fr/p/2903/r%C3%A9sidence-les-palmiers-vos-studios-et-appartements-entre-calme-et-proximit%C3%A9-au-quartier-l-oasis,Publié il y a plus de 6 mois,Oasis à Casablanca,À partir de 1 230 000 DH,Not found!,"['Haut standing', 'Finalisé']","Sur la Route d’El Jadida, un emplacement stratégique à Casablanca, s’est installée la résidence Les Palmiers. Une résidence qui fait de votre confort au quotidien son leitmotiv. Une résidence qui vous permettra de jouir de prestations de qualité. Sont mis à votre disposition des appartements de haut standing de 1 à 2 chambres et d’une superficie allant de 59 à 96 m² et ce, pour un prix débutant à 1 230 000 dh.

Composée de 5 étages, cette résidence dévoile un design épuré et moderne qui rejoint l’architecture du quartier l’Oasis, qui se veut être un quartier où règne sérénité et bien-être. De plus, grâce à ses différents équipements : parabole collective, parking en deux sous-sol… la résidence Les Palmiers vous permettra de vivre pleinement votre vie de jeunes actifs.

Des appartements haut standing qui sont l’illustration parfaite du luxe et de la somptuosité
- Carrelage dans le salon et le hall type COMPACTO
- Parquet stratifié dans les chambres
- Peinture type « KHAYAL OU SIMILAIRES »
- Cuisine équipée de trio
- Volets roulants électriques avec motorisation et commande centralisée
- Climatisation gainable et réversible type LG avec système multi-zone
- Douche à l’italienne,
- Vasque avec meuble intégrée Premium Quality
- Ascenseur de la marque DELTA ASCENSEUR
- Pré installation de la fibre optique

Restez proches de toutes les commodités, en optant pour Les Palmiers !
Dynamique et reposant : deux adjectifs qui semblent contradictoires mais qui résument parfaitement le quartier Oasis. Un quartier qui s’alliera parfaitement avec votre vie active, tout en vous permettant de vous reconnecter à la nature grâce à la multitude d’espaces verts dont celui-ci bénéficie. Entre clubs et centres d’affaires, ce quartier est idéalement situé.

En optant pour la résidence Les Palmiers, vous êtes certains d’être au plus proche de toutes les commodités :
- Clubs : Coc, CAFC, RUC…
- Écoles
- Casablanca Finance City
- Sorties d’autoroutes
- Médecins
- Cliniques
- Pharmacies
- Restaurants et cafés…

Idéals pour un premier investissement ou pour un rendement locatif, les appartements haut standing de la résidence Les Palmiers n’attendent plus que vous !"
Green Walks,https://www.mubawab.ma/fr/p/3071/green-walks,Publié il y a plus de 6 mois,Aïn Sebaâ à Casablanca,Prix à consulter,10 500DH / m²,"['Haut standing', 'En cours de construction', 'Livraison janvier 2022']","GREEN WALKS, un complexe résidentiel d’exception situé sur l’Allée des figuiers à Ain Sebaa, proposant des appartements haut standing et locaux commerciaux sécurisés au centre de AIN SEBAA. Une résidence familiale dotée de plusieurs espaces verts et espaces de vie pour les enfants, pour assurer votre confort et votre épanouissement au quotidien.

Vivant avec ses nombreux commerces et infrastructures urbaines de proximité qui vous procureront un cadre de vie agréable. Le projet répond parfaitement à vos exigences et aux normes architecturales.

Caractéristiques :
- Résidence Sécurisée.
- Portes en Bois chêne (Bois première qualité).
- Cuisine équipée / Electro-ménager Sylverline.
- Peinture KHAYAL
- Sanitaire WC : ROCA
- Equipement électrique SIMON.
- Tableau électrique : Ingelec
- Ascenseur de qualité premium
- Vidéophone : COMAX

Équipements de proximité : Côtière Casa - Mohammedia, Bd Chefchaouni, cafés, restaurants, loisirs, ..."
"Soft City, travaillez dans le calme de l'Oasis",https://www.mubawab.ma/fr/p/2912/soft-city-travaillez-dans-le-calme-de-l-oasis,Publié il y a plus de 6 mois,Oasis à Casablanca,À partir de 1 486 000 DH,22 500DH / m²,"['Haut standing', 'En cours de construction']","Développer son business est l’objectif premier de chaque entrepreneur ou chef d’entreprise. Pour y arriver, un des points clés est d’investir dans un bureau qui offre un environnement qui allie productivité et qualité de vie. Un bureau qui vous permettra d’être au plus proche de vos prospects et de vos futurs partenaires.

C’est dans ce sens qu’a été pensé le centre d’affaire Soft City Oasis. Idéalement situé au cœur du quartier Oasis, et plus exactement au croisement de la route Oasis et de la rue Abudhabi, il met à votre disposition des bureaux de haut standing d’une superficie allant de 63 à 107 m² et ce, à un prix débutant à 22.500 dh/m².

Également, ce centre d'affaire offre aux commerçants ambitieux et désirant être dans un quartier animé, des locaux commerciaux d'une superficie allant de 130 à 208 m² à partir de 2 487 000 Dirhams.

Le projet Soft City Oasis, vous offre à vous et à vos collaborateurs, tout le confort nécessaire :
• Parking en deux sous-sols
• Gardiennage
• Vidéosurveillance
• Ascenseurs

Des plateaux bureaux répondant aux standards internationaux en termes d’équipements

• Standing : haut standing
• Type de plateaux : open space
• Équipements : isolation phonique et thermique, climatisation centralisée de la marque Carrier, pré-installation de la fibre optique
• Menuiserie et fenêtres : boiserie en noyer massif, double-vitrage
• Salle de bains et robinetterie : sanitaire de salle de bains de la marque Roca
• Revêtement : revêtement sol en carrelage
• Peinture : acrylique blanche

Des bureaux facilement accessibles et proches de toutes les commodités

Le quartier Oasis, qui offre un cadre de vie et de travail agréable et ce, en grande partie grâce à son calme ses commodités qui vous permettent d’être au plus près des principales artères de la ville économique et à proximité du nouveau quartier d’affaires, Casablanca Finance City.

Votre espace de travail, Soft City Oasis, se situe à environ :
• 300 mètres de la gare de train l'Oasis
• 300 mètres de deux parkings publics
• 350 mètres des stations de bus
• 400 mètres de la station de tramway Mekka

Pour votre bien être et celui de vos collaborateurs, la situation centrale de Soft City Oasis au niveau du quartier de l'Oasis, vous permettra de bénéficier de plusieurs services de proximité :

- Crèches et écoles primaires, secondaires et supérieures, privées et publiques. (Exemple : Louis Bertrand, Al Jabr School, Riviera)
• Commerces et marchés (Exemple : marché solidaire, Carrefour Market, Bim)
• Cliniques, laboratoires, radiologues, cabinets médicales, dentistes etc.
• Restaurants et snacks
• Salles de sports

Vous êtes intéressés par les bureaux ? N’hésitez pas à prendre contact avec notre équipe qui saura répondre à toutes vos interrogations."
Résidence Diva,https://www.mubawab.ma/fr/p/3367/r%C3%A9sidence-diva,Publié il y a plus de 6 mois,Franceville à Casablanca,À partir de 899 000 DH,Not found!,"['Haut standing', 'Finalisé']","La Résidence Diva est la dernière-née des projets de Taoui Développement sur Franceville.
Se démarquant par sa signature architecturale d’exception, elle fut entièrement conçue afin d’être un réel foyer de calme et de tranquillité pour ses habitants.

La Résidence Diva se distingue par ses finitions sobres et raffinées, qui épousent harmonieusement un choix de matériaux nobles, et des prestations de haute qualité.

Composée de 17 logements seulement, cette résidence à taille humaine dispose de belles terrasses, favorisant un important apport en luminosité. Dotée d’un parking au sous-sol sur deux niveaux, les places et les box qui s’y trouvent sont titrées.

Des agencements optimisés, pensés pour votre confort :
La résidence Diva est composée de spacieux appartements 2/3 chambres, confortable à vivre, et de charmants studios aux agencements optimisés, répondant à vos envies et vos besoins.

Les superficies des appartements sont comprises entre 106m² et 138m², tandis que celles des studios sont à partir de 42m².
- Résidence sécurisée
- Prestations de qualité
- Terrasses ensoleillées
- Résidence à taille humaine
- Place de parking titrée + box

Finitions et caractéristiques :
Des finitions raffinées et des prestations complètes et de haute qualité :
- Suite parentale avec dressing et salle de bain
- Parquet de qualité
- Douche à l’italienne avec baignoire
- Revêtement en marbre dans les salles de bain
- Boiserie en chêne importer
- Menuiserie aluminium de qualité
- Sanitaire Roca
- Marbre Perlatino au sol
- Cuisine équipée
- Isolation thermique et phonique
- Climatisation gainable et système zoning
- Volets roulants
- Visiophone
- Double vitrage
- Parking sous-sol titré + Box

Tout est à côté de chez vous :
Bénéficiant d’un emplacement des plus réfléchis, sa position stratégique entre boulevard Ghandi & Abdelmoumen vous permet un accès fluide, dans un quartier calme et proche de toutes commodités.
- Gare de l’Oasis
- Tramway 300m (Station Bachkou)
- Écoles missions Françaises: Casa Del Arte, EHEB Ecole, Cap Mission, Les P’tits Solistes, École Abdelmoumen …
- Centres de santé & cliniques: Clinique Abdelmoumen,
- Marchés: Marché de l’Oasis, Marché Solidaire, BIM, Carrefour Market
- Boulangerie, boucherie, cafés et restaurants
- Espaces et salles de sport: Le Pacha, Oasis Sports City, Wellness"
Vert Marine - Triplex,https://www.mubawab.ma/fr/p/3517/vert-marine-triplex,Publié il y a plus de 6 mois,Dar Bouazza,À partir de 3 980 000 DH,Not found!,"['Haut standing', 'Finalisé']","Projet avant-gardiste de Saham Immobilier, Vert Marine profite d’un terrain verdoyant offrant à chacun sa part de bonheur. Avec sa fenêtre ouverte sur le ciel, la mer et la flore environnante, le projet égrène ses habitations en pente douce jusqu’à la mer, dans des résidences fermées et sécurisées.

Fleurons des deux premières tranches, les pavillons de Vert Marine, d’une superficie allant jusqu’à 404 m² (hors sous-sol), offrent des intérieurs sublimés et des espaces intelligemment pensés. Chaque recoin respire le raffinement et l’élégance autour de spacieuses terrasses.

Les triplex se distinguent par leur élégance, leur raffinement et leur grand confort. Ils ont été conçus avec des matériaux nobles pour vous offrir un cadre de vie chaleureux et raffiné.

Profitez des triplex à partir de 3,98 MDHS à 10 min du Morocco Mall avec :
- Espaces verts
- Piscine
- Salle de fitness
- Vue sur mer
- Parking souterrain
- Ascenseur privatif"
Résidence DIAZ,https://www.mubawab.ma/fr/p/3274/r%C3%A9sidence-diaz,Publié il y a plus de 6 mois,Maârif Extension à Casablanca,À partir de 860 000 DH,Not found!,"['Haut standing', 'Finalisé', 'Livraison janvier 2022']","Idéal pour les investisseurs ou les jeunes actifs à la recherche d’une acquisition, la Résidence Diaz, est un projet qui concilie entre centre-ville et calme inouï.

Avant-gardisme et confort , définissent parfaitement la résidence fermée et sécurisée Diaz. Situé au quartier prisé de Maârif Extension, ce projet met à votre disposition des studios et des appartements haut standing d’une superficie allant de 44 à 104 m², à un prix débutant à 860.000 DH.

Cette résidence intimiste érigée en R+5 jouit d’une orientation idéale et d’une double façade, de quoi vous faire profiter de lumière naturelle tout au long de la journée. Les équipements dont dispose la résidence Diaz, permettent à tout un chacun de profiter d’une sérénité quotidienne : places de parking titrées en deux sous-sols, 400 m² d’espaces verts, ascenseurs, salle de fitness…

Les appartements haut standing de la Résidence Diaz bénéficient d’équipements et de finitions qui répondent en tous points à vos attentes :
- Studios et appartement d’une à 2 chambres
- Marbre au sol VOLUBILIS dans le hall d’entrée et le salon
- Isolation phonique et thermique
- Cuisine équipée d’un trio de la marque BOSCH
- Parquet dans les chambres
- Sanitaires de la marque Grohe & Creavit
- Dispositif de détection d’incendie
- Climatisation bi-split

Maârif Extension, le quartier dans lequel est situé ce projet, est l’un des quartiers où la demande ne cesse de grandir. Sa situation au cœur de la ville, ses nombreuses commodités et son activité permanente, vous permettront de profiter pleinement de votre vie de citadin.
En optant pour la Résidence Diaz, vous bénéficierez d’une proximité immédiate avec bon nombre de commodités, dont :
- Écoles
- Commerces de proximité
- Supermarchés
- Cliniques et pharmacies
- Cafés et restaurants

Votre futur appartement vous attend à la Résidence Diaz ! Contactez-nous sans plus attendre !"
